city,city_code,town,town_code,unit,vote_class,electors,turnout,source_file
전라남도,4600,광양시,4607,골약동,관내사전투표,2416,2416,data/nec_2026_official_html/4600_4607_광양시.html
전라남도,4600,광양시,4607,중마동,관내사전투표,9199,9199,data/nec_2026_official_html/4600_4607_광양시.html
전라남도,4600,광양시,4607,광영동,관내사전투표,2386,2386,data/nec_2026_official_html/4600_4607_광양시.html
전라남도,4600,광양시,4607,태인동,관내사전투표,505,505,data/nec_2026_official_html/4600_4607_광양시.html
전라남도,4600,광양시,4607,금호동,관내사전투표,2260,2260,data/nec_2026_official_html/4600_4607_광양시.html
전라남도,4600,담양군,4608,담양읍,관내사전투표,4537,4536,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,담양군,4608,봉산면,관내사전투표,931,931,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,담양군,4608,고서면,관내사전투표,1222,1222,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,담양군,4608,가사문학면,관내사전투표,497,497,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,담양군,4608,창평면,관내사전투표,1410,1409,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,담양군,4608,대덕면,관내사전투표,644,644,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,담양군,4608,무정면,관내사전투표,763,763,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,담양군,4608,금성면,관내사전투표,906,906,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,담양군,4608,용면,관내사전투표,653,653,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,담양군,4608,월산면,관내사전투표,885,885,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,담양군,4608,수북면,관내사전투표,1674,1674,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,담양군,4608,대전면,관내사전투표,1294,1292,data/nec_2026_official_html/4600_4608_담양군.html
전라남도,4600,장성군,4609,장성읍,관내사전투표,4511,4510,data/nec_2026_official_html/4600_4609_장성군.html
전라남도,4600,장성군,4609,진원면,관내사전투표,815,815,data/nec_2026_official_html/4600_4609_장성군.html
전라남도,4600,장성군,4609,남면,관내사전투표,1029,1029,data/nec_2026_official_html/4600_4609_장성군.html
전라남도,4600,장성군,4609,동화면,관내사전투표,505,505,data/nec_2026_official_html/4600_4609_장성군.html
전라남도,4600,장성군,4609,삼서면,관내사전투표,964,964,data/nec_2026_official_html/4600_4609_장성군.html
전라남도,4600,장성군,4609,삼계면,관내사전투표,1420,1419,data/nec_2026_official_html/4600_4609_장성군.html
전라남도,4600,장성군,4609,황룡면,관내사전투표,1012,1011,data/nec_2026_official_html/4600_4609_장성군.html
전라남도,4600,장성군,4609,서삼면,관내사전투표,437,437,data/nec_2026_official_html/4600_4609_장성군.html
