signature_type,election,category,contest,vote_class,signature,unit,candidate_names
top2_candidates,2017-presidential,대통령,전국,관내사전투표,181|9,전라북도|순창군|풍산면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,211|13,전라남도|강진군|병영면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,211|13,전라남도|곡성군|오산면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,237|12,전라남도|고흥군|남양면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,237|12,전라북도|남원시|금지면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,306|279,경상남도|하동군|화개면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,306|279,부산광역시|금정구|서제1동|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,314|9,전라남도|곡성군|죽곡면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,314|9,전라북도|군산시|서수면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,442|11,전라남도|영광군|법성면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,442|11,전라남도|장흥군|안양면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,74|71,경기도|연천군|군남면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,74|71,충청남도|부여군|내산면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,75|80,부산광역시|중구|남포동|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,75|80,충청북도|보은군|산외면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,87|254,경상북도|영주시|순흥면|관내사전투표,문재인|홍준표
top2_candidates,2017-presidential,대통령,전국,관내사전투표,87|254,경상북도|청도군|매전면|관내사전투표,문재인|홍준표
top2_candidates,2018-local,교육감,강원도|강원도,관내사전투표,270|288,북방면|관내사전투표,신경호|민병희
top2_candidates,2018-local,교육감,강원도|강원도,관내사전투표,270|288,삼수동|관내사전투표,신경호|민병희
top2_candidates,2018-local,교육감,경기도|경기도,관내사전투표,16|40,화현면|관내사전투표,배종수|송주명
top2_candidates,2018-local,교육감,경기도|경기도,관내사전투표,16|40,효자동|관내사전투표,배종수|송주명
top2_candidates,2018-local,교육감,경기도|경기도,관내사전투표,75|175,의정부2동|관내사전투표,배종수|송주명
top2_candidates,2018-local,교육감,경기도|경기도,관내사전투표,75|175,이동읍|관내사전투표,배종수|송주명
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,22|37,사량면|관내사전투표,이효환|김선유
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,22|37,칠곡면|관내사전투표,이효환|김선유
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,32|44,고암면|관내사전투표,이효환|김선유
